Employee Id,Probation End Date,Ticket Entitlement Date,Dept Code,Job Title
602918,20230303,20270904,7,FM Team Leader
602686,20220916,,12,Senior Public Relations Officer
602841,20230123,20270727,4,Office Boy
602886,20230210,20270814,7,Cleaner
602888,20230210,20270814,7,Cleaner
602900,20230212,20270816,7,Cleaner
602917,20230303,20270904,4,Carwash Cleaner
602897,20230212,20270816,7,Cleaner
602913,20230226,20270830,4,Cashier
602910,20230224,20270828,6,MEP Foreman 
602938,20230311,20270912,7,Cleaner
602937,20230311,20270912,7,Cleaner
602942,20230320,,7,MEP Engineer
602949,20230324,20270925,7,Cleaner 
602950,20230324,20270925,7,Cleaner 
602952,20230324,20270925,7,Cleaner 
602958,20230326,20270927,4,Barbar
602943,20230401,,7,Fire Fighting & Fire Alarm Engineer
602960,20230327,20270928,7,Team Leader-Data Centre
602962,20230328,20270929,7,Cleaner 
602963,20230328,20270929,7,Cleaner 
602965,20230328,20270929,7,Cleaner 
602959,20230327,20270928,4,Barbar
602969,20230401,,14,MEP Estimator
602975,20230414,,7,Facilities Manager
601780,20210213,,24,Assistant Manager CB
602985,20230421,20271023,6,Carpenter
602976,20230430,20271101,11,Gardner
602977,20230430,20271101,11,Gardner
602979,20230430,20271101,11,Gardner
602992,20230508,20271109,11,Gardener
602995,20230508,,7,Facilities Manager
602983,20230421,20271023,7,Cleaner
602984,20230421,20271023,7,Cleaner
603019,20230523,20271124,7,Cleaner
603020,20230522,20271123,7,Cleaner
603024,20230522,20271123,7,Cleaner
603029,20230523,20271124,7,Cleaner
603010,20230523,20271124,7,Cleaner
603018,20230523,20271124,7,Cleaner
603012,20230524,20271125,7,Cleaner
603003,20230519,,6,Planning Manager
603041,20230605,20271207,4,Office boy
603035,20230524,20271125,7,Cleaner
603038,20230528,20271129,7,Cleaner
602788,20221125,20270529,7,Office Boy
603039,20230602,,4,SME Technical Manage
603042,20230610,,4,Gym Instructor
603057,20230623,20271225,7,Team Leader
603063,20230623,20271225,7,Cleaner
603071,20220703,20270104,7,Specialised Cleaner
603073,20230704,20250105,4,Security System Technician
603049,20230613,20271215,11,Gardener
603084,20230727,20250128,7,Cleaner
603083,20230727,20250128,7,Cleaner
603095,20230801,20250202,7,Cleaner
603090,20230801,20250202,7,Cleaner
603091,20230801,20250202,7,Cleaner
603094,20230801,20250202,7,Cleaner
603092,20230730,,11,Project Engineer-Lan
603096,20230808,20250209,11,Gardener
603082,20230727,20250128,7,Cleaner
603099,20230812,20250213,6,Gypsum Carpenter
603098,20230812,20250213,6,Painter
603093,20230709,20250110,4,VIP Driver
603114,20230827,20250228,7,Cleaner
603117,20230827,20250228,7,Cleaner
603118,20230827,20250228,7,Cleaner
603119,20230827,20250228,7,Cleaner
603120,20230827,20250228,7,Cleaner
603115,20230902,20250306,7,Cleaner
603122,20230828,20250301,4,Office boy
603104,20230815,20250216,7,Multi Technician
603125,20230902,20250306,7,Multi Technician
603116,20230904,20250308,7,Cleaner
603121,20230909,20250313,4,Car Parking Operator
603129,20230915,,7,Facility Engineer
603134,20230922,20250326,7,Data Centre Team Lea
603139,20231003,20250406,11,Gardener
603135,20230922,20250326,7,Cleaner
603136,20230922,20250326,7,Cleaner
603130,20230915,,10,Supply Chain Manager
602782,20221125,20270529,10,Driver
603141,20231020,20250423,7,Cleaner
603143,20231020,20250423,7,Cleaner
603144,20231020,20250423,7,Cleaner
603153,20231013,20250416,4,Store keeper
603151,20231013,20250416,7,Multi Technician
603161,20231027,,7,Sr. Estimation Engin
603145,20231020,20250423,7,Cleaner
603146,20231020,20250423,7,Cleaner
603147,20231020,20250423,7,Cleaner
603148,20231013,20250416,7,Cleaner
603149,20231013,20250416,7,Cleaner
603150,20231013,20250416,7,Cleaner
603170,20231103,20250507,7,Electrician
603171,20231103,20250507,7,Plumber
603169,20231103,20250507,4,Painter
603167,20231031,,7,Facilities Manager
603172,20231110,20250514,7,Chiller Technician
603175,20231111,20250515,4,Civil Chargehand
603198,20231202,20250605,7,Cleaner
603199,20231202,20250605,7,Cleaner
603200,20231202,20250605,7,Cleaner
603177,20231121,20250525,7,Cleaner
603195,20231121,20250525,7,Cleaner
603193,20231121,20250525,4,Chargehand
603222,20231230,20250703,4,Driver
603220,20240106,20250710,7,Cleaner
603227,20240106,20250710,4,Carpenter
603224,20231230,20250703,4,Helper
603228,20240107,20250711,4,Automobile Technicia
603240,20240120,20250724,7,Multi Technician
603235,20240121,20250725,4,Car washer
603242,20240121,20250725,7,Cleaner
603248,20240126,20250730,7,Cleaner
603253,20240130,20250803,7,Cleaner
603254,20240130,20250803,7,Cleaner
